Book Id,Title,Author,Author l-f,Additional Authors,ISBN,ISBN13,My Rating,Average Rating,Publisher,Binding,Number of Pages,Year Published,Original Publication Year,Date Read,Date Added,Bookshelves,Bookshelves with positions,Exclusive Shelf,My Review,Spoiler,Private Notes,Read Count,Owned Copies
60288158,"La hermana, la extranjera (extractos)",Audre Lorde,"Lorde, Audre",,"=""""","=""""",5,4.53,Fusilemos la Noche,Mass Market Paperback,57,2017,1984,2022/02/01,2022/02/01,físicos,físicos (#116),read,,,,2,0
42123449,Los argonautas,Maggie Nelson,"Nelson, Maggie",Tal Pinto,"=""8417348018""","=""9788417348014""",5,4.01,Tres Puntos Ediciones,Paperback,220,2018,2015,2022/01/29,2022/01/05,físicos,físicos (#110),read,"Precioso y sincero entramado de vidas, afectos, dudas y teoría, que progresa trenzando historias de nacimiento, transición de género y muerte.",,,1,0
60105140,Fuego Queer. Brigada George Jackson,Ed Mead,"Mead, Ed",Bo Brown,"=""""","=""""",3,4.20,FEA Feminista,Mass Market Paperback,68,2019,,2022/01/15,2022/01/11,físicos,físicos (#114),read,,,,1,0
41886488,Xenofeminismo: Tecnologías de género y políticas de reproducción,Helen Hester,"Hester, Helen",Hugo Salas,"=""987162266X""","=""9789871622665""",3,3.84,Caja Negra Editora,Paperback,144,2018,2018,2022/01/20,2021/04/13,físicos,físicos (#113),read,"Habiendo leído el manifiesto original, intenté amar este libro pero me decepcionó, salvo algunas partes de la primera mitad. Demasiados términos rimbombantes y futuristas para terminar hablando de propaganda ecologista y de un dispositivo de extracción de menstruación de los ‘70. Además no puedo evitar el cringe cuando fuerzan el uso de jerga digital o tecnológica como “hackear” o “hipertexto” cuando no tienen nada que ver con lo que se está planteando.",,,1,0
49197923,Esferas de la insurrección: Apuntes para descolonizar el inconsciente,Suely Rolnik,"Rolnik, Suely",,"=""9873687483""","=""9789873687488""",0,4.31,tinta limón ,Paperback,192,2019,,,2022/01/06,"to-read, físicos","to-read (#281), físicos (#112)",to-read,,,,0,0
6288621,"Somos herederos de las revoluciones del mundo: Discursos de la revolución de Burkina Faso, 1983-87 (Spanish Edition)",Thomas Sankara,"Sankara, Thomas","Michel Prairie, Mary-Alice Waters","=""0873489926""","=""9780873489928""",0,4.53,Pathfinder Press,Paperback,117,2007,2002,,2022/01/09,to-read,to-read (#284),to-read,,,,0,0
35340195,Differences: Rereading Beauvoir and Irigaray (Studies in Feminist Philosophy),Emily Anne Parker,"Parker, Emily Anne",Anne van Leeuwen,"=""019027560X""","=""9780190275600""",0,4.00,Oxford University Press,Paperback,280,2017,,,2022/01/07,to-read,to-read (#283),to-read,,,,0,0
1142869,"Self-Transformations: Foucault, Ethics, and Normalized Bodies (Studies in Feminist Philosophy)",Cressida J. Heyes,"Heyes, Cressida J.",,"=""0195310543""","=""9780195310542""",0,4.06,Oxford University Press,Paperback,176,2007,2007,,2022/01/07,to-read,to-read (#282),to-read,,,,0,0
56518231,Reencantar el mundo. El feminismo y la política de los comunes,Silvia Federici,"Federici, Silvia",,"=""987368770X""","=""9789873687709""",0,4.26,FisicalBook,Paperback,0,1900,2018,,2021/02/04,to-read,to-read (#247),to-read,,,,0,0
49688036,La revolución de los cuerpos,Sofía Calvo Foxley,"Foxley, Sofía Calvo",,"=""""","=""""",0,3.46,RIL editores ,Paperback,148,2019,,,2022/01/05,to-read,to-read (#280),to-read,,,,0,0
